year,award,shortlist_date,winner_date,shortlist_link,winner_link
2017,Man Booker Prize,20/04/2017,17/10/2017,https://www.dw.com/en/a-perfect-list-for-donald-trumps-birthday-man-booker-prize-reveals-2017-shortlist/a-38519308,https://web.archive.org/web/20171018062026/http://themanbookerprize.com/news/lincoln-bardo-wins-2017-man-booker-prize
2014,Man Booker Prize,09/09/2014,14/10/2014,https://www.theguardian.com/books/gallery/2014/jul/23/man-booker-prize-2014-longlist-in-pictures,https://www.theguardian.com/books/gallery/2014/jul/23/man-booker-prize-2014-longlist-in-pictures
2013,Man Booker Prize,10/09/2013,15/10/2013,https://www.bbc.com/news/entertainment-arts-20727568,https://www.bbc.com/news/entertainment-arts-20727568
2015,Man Booker Prize,15/09/2015,13/10/2015,https://www.npr.org/sections/thetwo-way/2015/09/15/440644672/shortlist-revealed-for-2015-man-booker-prize,https://www.bbc.com/news/entertainment-arts-34255672
2012,Man Booker Prize,12/09/2012,16/10/2012,https://www.theguardian.com/books/2012/sep/11/man-booker-prize-shortlist,https://www.theguardian.com/books/2012/sep/11/man-booker-prize-shortlist
2011,Man Booker Prize,06/09/2011,18/10/2011,https://web.archive.org/web/20200205173156/https://thebookerprizes.com/resources/media/pressreleases/2011/09/06/2011-man-booker-prize-shortlist-announced,https://www.bbc.com/news/entertainment-arts-14801557
2010,Man Booker Prize,07/09/2010,12/10/2010,https://web.archive.org/web/20191022062941/https://thebookerprizes.com/resources/media/pressreleases/2010/09/07/2010-man-booker-prize-fiction-shortlist-announced,https://web.archive.org/web/20191022062941/https://thebookerprizes.com/resources/media/pressreleases/2010/09/07/2010-man-booker-prize-fiction-shortlist-announced
2016,Man Booker Prize,13/09/2016,25/10/2016,https://www.mprnews.org/story/2016/09/13/books-man-booker-prize-shortlist,https://web.archive.org/web/20180629072836/http://themanbookerprize.com/news/man-booker-prize-announces-2016-shortlist
2017,National Book Award,04/10/2017,15/11/2017,https://www.publishersweekly.com/pw/by-topic/industry-news/awards-and-prizes/article/74759-2017-nba-longlists-announced.html,https://www.nytimes.com/2017/11/15/books/review/national-book-award-jesmyn-ward.html
2016,National Book Award,06/10/2016,17/11/2016,https://www.npr.org/sections/thetwo-way/2016/10/06/496760469/these-are-the-2016-national-book-award-finalists,https://www.nytimes.com/2016/11/17/business/colson-whitehead-wins-national-book-award-for-the-underground-railroad.html
