author_name,title,year,type,category,award,title_norm
Howard Jacobson,The Finkler Question,2010,winner,NA,Man Booker Prize,the finkler question
Tom McCarthy,C,2010,finalist,NA,Man Booker Prize,c
Damon Galgut,In a Strange Room,2010,finalist,NA,Man Booker Prize,in a strange room
Peter Carey,Parrot and Olivier in America,2010,finalist,NA,Man Booker Prize,parrot and olivier in america
Emma Donoghue,Room,2010,finalist,NA,Man Booker Prize,room
Andrea Levy,The Long Song,2010,finalist,NA,Man Booker Prize,the long song
Julian Barnes,The Sense of an Ending,2011,winner,NA,Man Booker Prize,the sense of an ending
Esi Edugyan,Half Blood Blues,2011,finalist,NA,Man Booker Prize,half blood blues
Carol Birch,Jamrach's Menagerie,2011,finalist,NA,Man Booker Prize,jamrach's menagerie
Stephen Kelman,Pigeon English,2011,finalist,NA,Man Booker Prize,pigeon english
A.D. Miller,Snowdrops,2011,finalist,NA,Man Booker Prize,snowdrops
Patrick deWitt,The Sisters Brothers,2011,finalist,NA,Man Booker Prize,the sisters brothers
Hilary Mantel,Bring Up the Bodies,2012,winner,NA,Man Booker Prize,bring up the bodies
Jeet Thayil,Narcopolis,2012,finalist,NA,Man Booker Prize,narcopolis
Deborah Levy,Swimming Home,2012,finalist,NA,Man Booker Prize,swimming home
Tan Twan Eng,The Garden of Evening Mists,2012,finalist,NA,Man Booker Prize,the garden of evening mists
Alison Moore,The Lighthouse,2012,finalist,NA,Man Booker Prize,the lighthouse
Will Self,Umbrella,2012,finalist,NA,Man Booker Prize,umbrella
Eleanor Catton,The Luminaries,2013,winner,NA,Man Booker Prize,the luminaries
Ruth Ozeki,A Tale for the Time Being,2013,finalist,NA,Man Booker Prize,a tale for the time being
Jim Crace,Harvest,2013,finalist,NA,Man Booker Prize,harvest
Jhumpa Lahiri,The Lowland,2013,finalist,NA,Man Booker Prize,the lowland
Colm Toibin,The Testament of Mary,2013,finalist,NA,Man Booker Prize,the testament of mary
NoViolet Bulawayo,We Need New Names,2013,finalist,NA,Man Booker Prize,we need new names
Richard Flanagan,The Narrow Road to the Deep North,2014,winner,NA,Man Booker Prize,the narrow road to the deep north
Ali Smith,How to Be Both,2014,finalist,NA,Man Booker Prize,how to be both
Howard Jacobson,J,2014,finalist,NA,Man Booker Prize,j
Neel Mukherjee,The Lives of Others,2014,finalist,NA,Man Booker Prize,the lives of others
Joshua Ferris,To Rise Again at a Decent Hour,2014,finalist,NA,Man Booker Prize,to rise again at a decent hour
Karen Joy Fowler,We Are All Completely Beside Ourselves,2014,finalist,NA,Man Booker Prize,we are all completely beside ourselves
Marlon James,A Brief History of Seven Killings,2015,winner,NA,Man Booker Prize,a brief history of seven killings
Hanya Yanagihara,A Little Life,2015,finalist,NA,Man Booker Prize,a little life
Anne Tyler,A Spool of Blue Thread,2015,finalist,NA,Man Booker Prize,a spool of blue thread
Tom McCarthy,Satin Island,2015,finalist,NA,Man Booker Prize,satin island
Chigozie Obioma,The Fishermen,2015,finalist,NA,Man Booker Prize,the fishermen
Sunjeev Sahota,The Year of the Runaways,2015,finalist,NA,Man Booker Prize,the year of the runaways
Paul Beatty,The Sellout,2016,winner,NA,Man Booker Prize,the sellout
David Szalay,All That Man Is,2016,finalist,NA,Man Booker Prize,all that man is
Madeleine Thien,Do Not Say We Have Nothing,2016,finalist,NA,Man Booker Prize,do not say we have nothing
Ottessa Moshfegh,Eileen,2016,finalist,NA,Man Booker Prize,eileen
Graeme Macrae Burnet,His Bloody Project,2016,finalist,NA,Man Booker Prize,his bloody project
Deborah Levy,Hot Milk,2016,finalist,NA,Man Booker Prize,hot milk
George Saunders,Lincoln in the Bardo,2017,winner,NA,Man Booker Prize,lincoln in the bardo
Paul Auster,4 3 2 1,2017,finalist,NA,Man Booker Prize,4 3 2 1
Ali Smith,Autumn,2017,finalist,NA,Man Booker Prize,autumn
Fiona Mozley,Elmet,2017,finalist,NA,Man Booker Prize,elmet
Mohsin Hamid,Exit West,2017,finalist,NA,Man Booker Prize,exit west
Emily Fridlund,History of Wolves,2017,finalist,NA,Man Booker Prize,history of wolves
Jaimy Gordon,Lord of Misrule,2010,winner,fiction,National Book Award,lord of misrule
Nicole Krauss,Great House,2010,finalist,fiction,National Book Award,great house
Karen Tei Yamashita,I Hotel,2010,finalist,fiction,National Book Award,i hotel
Peter Carey,Parrot and Olivier in America,2010,finalist,fiction,National Book Award,parrot and olivier in america
Lionel Shriver,So Much for That,2010,finalist,fiction,National Book Award,so much for that
Patti Smith,Just Kids,2010,winner,nonfiction,National Book Award,just kids
John W. Dower,Cultures of War: Pearl Harbor / Hiroshima / 9-11 / Iraq,2010,finalist,nonfiction,National Book Award,cultures of war: pearl harbor / hiroshima / 9-11 / iraq
Megan K. Stack,Every Man in This Village Is a Liar: An Education in War,2010,finalist,nonfiction,National Book Award,every man in this village is a liar: an education in war
Barbara Demick,Nothing to Envy: Ordinary Lives in North Korea,2010,finalist,nonfiction,National Book Award,nothing to envy: ordinary lives in north korea
Justin Spring,"Secret Historian: The Life and Times of Samuel Steward, Professor, Tattoo Artist, and Sexual Renegade",2010,finalist,nonfiction,National Book Award,"secret historian: the life and times of samuel steward, professor, tattoo artist, and sexual renegade"
Jesmyn Ward,Salvage the Bones,2011,winner,fiction,National Book Award,salvage the bones
Edith Pearlman,Binocular Vision,2011,finalist,fiction,National Book Award,binocular vision
Julie Otsuka,The Buddha in the Attic,2011,finalist,fiction,National Book Award,the buddha in the attic
Andrew Krivak,The Sojourn,2011,finalist,fiction,National Book Award,the sojourn
Tea Obreht,The Tiger's Wife,2011,finalist,fiction,National Book Award,the tiger's wife
Stephen Greenblatt,The Swerve: How the World Became Modern,2011,winner,nonfiction,National Book Award,the swerve: how the world became modern
Mary Gabriel,Love and Capital: Karl and Jenny Marx and the Birth of a Revolution,2011,finalist,nonfiction,National Book Award,love and capital: karl and jenny marx and the birth of a revolution
Manning Marable,Malcolm X: A Life of Reinvention,2011,finalist,nonfiction,National Book Award,malcolm x: a life of reinvention
Lauren Redniss,"Radioactive: Marie and Pierre Curie, A Tale of Love and Fallout",2011,finalist,nonfiction,National Book Award,"radioactive: marie and pierre curie, a tale of love and fallout"
Deborah Baker,The Convert: A Tale of Exile and Extremism,2011,finalist,nonfiction,National Book Award,the convert: a tale of exile and extremism
Louise Erdrich,The Round House,2012,winner,fiction,National Book Award,the round house
Dave Eggers,A Hologram for the King,2012,finalist,fiction,National Book Award,a hologram for the king
Ben Fountain,Billy Lynn's Long Halftime Walk,2012,finalist,fiction,National Book Award,billy lynn's long halftime walk
Kevin Powers,The Yellow Birds,2012,finalist,fiction,National Book Award,the yellow birds
Junot Diaz,This Is How You Lose Her,2012,finalist,fiction,National Book Award,this is how you lose her
Katherine Boo,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",2012,winner,nonfiction,National Book Award,"behind the beautiful forevers: life, death, and hope in a mumbai undercity"
Anthony Shadid,"House of Stone: A Memoir of Home, Family, and a Lost Middle East",2012,finalist,nonfiction,National Book Award,"house of stone: a memoir of home, family, and a lost middle east"
Anne Applebaum,"Iron Curtain: The Crushing of Eastern Europe, 1944-1956",2012,finalist,nonfiction,National Book Award,"iron curtain: the crushing of eastern europe, 1944-1956"
Domingo Martinez,The Boy Kings of Texas: A Memoir,2012,finalist,nonfiction,National Book Award,the boy kings of texas: a memoir
Robert A. Caro,The Passage of Power: The Years of Lyndon Johnson,2012,finalist,nonfiction,National Book Award,the passage of power: the years of lyndon johnson
James McBride,The Good Lord Bird,2013,winner,fiction,National Book Award,the good lord bird
Thomas Pynchon,Bleeding Edge,2013,finalist,fiction,National Book Award,bleeding edge
George Saunders,Tenth of December,2013,finalist,fiction,National Book Award,tenth of december
Rachel Kushner,The Flamethrowers,2013,finalist,fiction,National Book Award,the flamethrowers
Jhumpa Lahiri,The Lowland,2013,finalist,fiction,National Book Award,the lowland
George Packer,The Unwinding: An Inner History of the New America,2013,winner,nonfiction,National Book Award,the unwinding: an inner history of the new america
Jill Lepore,Book of Ages: The Life and Opinions of Jane Franklin,2013,finalist,nonfiction,National Book Award,book of ages: the life and opinions of jane franklin
Lawrence Wright,"Going Clear: Scientology, Hollywood, and the Prison of Belief",2013,finalist,nonfiction,National Book Award,"going clear: scientology, hollywood, and the prison of belief"
Wendy Lower,Hitler's Furies: German Women in the Nazi Killing Fields,2013,finalist,nonfiction,National Book Award,hitler's furies: german women in the nazi killing fields
Alan Taylor,"The Internal Enemy: Slavery and War in Virginia, 1772-1832",2013,finalist,nonfiction,National Book Award,"the internal enemy: slavery and war in virginia, 1772-1832"
Phil Klay,Redeployment,2014,winner,fiction,National Book Award,redeployment
Anthony Doerr,All the Light We Cannot See,2014,finalist,fiction,National Book Award,all the light we cannot see
Rabih Alameddine,An Unnecessary Woman,2014,finalist,fiction,National Book Award,an unnecessary woman
Marilynne Robinson,Lila,2014,finalist,fiction,National Book Award,lila
Emily St. John Mandel,Station Eleven,2014,finalist,fiction,National Book Award,station eleven
Evan Osnos,"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China",2014,winner,nonfiction,National Book Award,"age of ambition: chasing fortune, truth, and faith in the new china"
Roz Chast,Can't We Talk about Something More Pleasant?,2014,finalist,nonfiction,National Book Award,can't we talk about something more pleasant?
Anand Gopal,No Good Men Among the Living,2014,finalist,nonfiction,National Book Award,no good men among the living
John Lahr,Tennessee Williams: Mad Pilgrimage of the Flesh,2014,finalist,nonfiction,National Book Award,tennessee williams: mad pilgrimage of the flesh
Edward O. Wilson,The Meaning of Human Existence,2014,finalist,nonfiction,National Book Award,the meaning of human existence
Adam Johnson,Fortune Smiles,2015,winner,fiction,National Book Award,fortune smiles
Hanya Yanagihara,A Little Life,2015,finalist,fiction,National Book Award,a little life
Lauren Groff,Fates and Furies,2015,finalist,fiction,National Book Award,fates and furies
Karen E. Bender,Refund,2015,finalist,fiction,National Book Award,refund
Angela Flournoy,The Turner House,2015,finalist,fiction,National Book Award,the turner house
Ta-Nehisi Coates,Between the World and Me,2015,winner,nonfiction,National Book Award,between the world and me
Sally Mann,Hold Still: A Memoir with Photographs,2015,finalist,nonfiction,National Book Award,hold still: a memoir with photographs
Carla Power,If the Oceans Were Ink: An Unlikely Friendship and a Journey to the Heart of the Quran,2015,finalist,nonfiction,National Book Award,if the oceans were ink: an unlikely friendship and a journey to the heart of the quran
Tracy K. Smith,Ordinary Light,2015,finalist,nonfiction,National Book Award,ordinary light
